fips,votes.dem,votes.rep,votes.other,total,share.dem,share.rep,share.other,Y
8125,655,3440,0,4095,0.15995115995115994,0.8400488400488401,0,1.6585915147321921
9001,210773,132475,6952,350200,0.6018646487721302,0.37828383780696745,0.019851513420902342,-0.4643877765935294
9003,253174,131107,18377,402658,0.6287569103308515,0.32560386233478533,0.04563922733436316,-0.6580632156737987
9005,38469,41280,4114,83863,0.45871242383411037,0.49223137736546513,0.0490561988004245,0.07052539902821889
9007,43997,29973,3997,77967,0.5643028460759039,0.38443187502404863,0.05126527890004746,-0.3838244733566022
9009,185570,119469,13420,318459,0.5827123742773795,0.37514719320226464,0.04214043252035584,-0.44037524586431404
9011,64483,32868,7265,104616,0.6163779918941653,0.3141775636613902,0.06944444444444445,-0.6739020831017186
9013,37715,22607,4267,64589,0.5839229590177895,0.35001316013562683,0.06606388084658378,-0.5117983004719115
9015,22146,16086,3343,41575,0.5326758869512929,0.3869152134696332,0.08040889957907396,-0.3197075647940392
10001,33162,24556,0,57718,0.5745521327835338,0.42544786721646627,0,-0.300448418513931
10003,150143,56213,0,206356,0.72759212235166415,0.2724078776483359,0,-0.9824401264199359
10005,44048,44615,0,88663,0.49680249935147697,0.5031975006485231,0,0.012790176951863196
12001,70937,43579,0,114516,0.6194505571273883,0.38054944287261167,0,-0.48721677624517307
12003,1966,8448,0,10414,0.18878432878816978,0.8112156712118302,0,1.457928705238931
12005,15834,47366,0,63200,0.25053797468354433,0.7494620253164557,0,1.0957451449912998
12007,2460,7983,0,10443,0.23556449296179258,0.7644355070382074,0,1.1771529307193904
12009,112989,167649,0,280638,0.40261475637654204,0.597385243623458,0,0.3945820392455608
12011,444766,174865,14366,633997,0.7015269788342847,0.27581360795082627,0.02265941321488903,-0.9335340535179039
12013,925,3666,0,4591,0.20148115878893488,0.7985188412110651,0,1.3770626908872252
12015,32617,53387,0,86004,0.3792498023347751,0.6207501976652249,0,0.4927336457897304
12017,22380,47839,0,70219,0.31871715632521114,0.6812828436747889,0,0.7596735035300928
12019,26019,66733,0,92752,0.28052225288942556,0.7194777471105744,0,0.941872542825112
12021,55337,99206,0,154543,0.35806862814880003,0.6419313718512,0,0.5837567337794769
12023,6938,17560,0,24498,0.2832067923912156,0.7167932076087844,0,0.9286100396594127
12027,3253,5557,0,8810,0.3692395005675369,0.6307604994324632,0,0.5354807468065698
12029,989,4750,0,5739,0.1723296741592612,0.8276703258407389,0,1.569205565405975
12031,179664,189024,5979,374667,0.47952982248236437,0.5045120066619158,0.015958170855719878,0.05078555129464191
