Dist,GOPVote,DemVote,OtherVote,stateID,VID,PVI_GOP_State,PVI_GOP,TotPop,Black,BlackPct,White,WhitePct,Hispanic,HispanicPct,Female,FemalePct,Under35,Under35Pct,AtLeast65,AtLeast65Pct,MedianHHInc,Unemployed,BachelorDegreeOrHigher
FL-21,157612,237925,7544,8,1,2,-9,786566,127907,0.162614453,584990,0.743726528,199896,0.254137606,407213,0.517709893,281820,0.358291612,211464,0.268844572,65394,4.1,37.1
FL-22,166553,235764,0,8,1,2,-6,760953,114958,0.151071091,584725,0.768411452,176508,0.231956507,385865,0.507081252,281132,0.369447259,170523,0.22409137,69452,4.5,41.6
FL-23,158874,221239,0,8,1,2,-11,762858,115837,0.151846084,549287,0.72003833,305924,0.401023519,397965,0.52167638,316010,0.414244853,129438,0.16967509,69198,3.6,40.6
FL-24,59084,218825,11703,8,1,2,-34,754731,355273,0.470727981,327064,0.43335175,319684,0.423573432,383120,0.507624571,352143,0.466580808,111275,0.147436636,44275,5,20.4
FL-26,177223,165407,0,8,1,2,-6,780951,87653,0.112238796,634078,0.811930582,565291,0.723849512,396887,0.508209862,338583,0.433552169,120774,0.154649908,65584,4,28.5
FL-27,176141,166758,0,8,1,2,-5,750653,42809,0.057029013,642481,0.855896133,531464,0.708002233,386548,0.514948984,302118,0.40247358,141941,0.189090032,60384,2.7,41.1
GA-01,189457,135238,0,9,1,5,9,749949,230141,0.306875534,465838,0.621159572,52623,0.070168771,375563,0.50078472,359453,0.479303259,117423,0.156574647,55542,5.7,26.3
GA-02,111620,161397,0,9,1,5,-6,671831,354964,0.528353113,279421,0.415909656,35034,0.052147043,344117,0.512207683,314116,0.467552108,108029,0.160797879,39728,9.4,18.4
GA-03,241526,129792,0,9,1,5,18,750998,190642,0.253851542,515005,0.685760814,45170,0.060146632,384110,0.511466076,339102,0.451535157,118110,0.157270725,66614,4.4,26
GA-04,69393,278906,0,9,1,5,-24,782142,476112,0.608728338,213149,0.272519568,79642,0.1018255,412403,0.52727382,374344,0.478613858,97664,0.124867351,60128,5.2,30.7
GA-05,52646,301857,0,9,1,5,-34,788996,436884,0.553721438,274634,0.348080345,53609,0.067945845,409113,0.518523541,405021,0.513337203,99009,0.125487328,60247,5,47.4
GA-06,180329,216775,0,9,1,5,8,742932,102402,0.137834957,495449,0.666883376,90601,0.121950596,381858,0.513987821,324340,0.436567546,101012,0.135963991,100110,3.8,65.1
GA-07,180564,190900,0,9,1,5,9,844773,181314,0.214630439,433565,0.513232549,170499,0.201828183,437681,0.518104864,408027,0.483001943,91360,0.108147396,80926,3,45
GA-08,198701,109264,0,9,1,5,15,706237,221519,0.313660995,433426,0.613711828,48767,0.069051891,358960,0.508271303,328830,0.46560857,115415,0.163422477,50745,5.3,22.7
GA-09,292750,79797,0,9,1,5,31,771168,50058,0.064911926,674346,0.874447591,103637,0.134389653,394544,0.511618739,330338,0.428360617,147358,0.191084174,59728,3.6,24.2
